id,lon,lat,streets,alt
543027,-122.3888713,37.7173295,Griffith,9.533330917
55923,-122.4711519,37.7125758,Junipero Serra,59.27923203
67539,-122.4087199,37.7939557,Joice & Clay,48.13464355
67540,-122.409936,37.793802,Freeman Court & Clay,60.90813065
67537,-122.407303,37.7941375,Spofford & Clay,34.05368805
67538,-122.4078973,37.79406,Stockton & Clay,38.82057953
72255,-122.4153411,37.7540327,23rd & Shotwell,17.96069717
72258,-122.423601,37.753535,23rd & Ames,34.55892944
61508,-122.4025209,37.7120852,Arleta & Bayshore,18.16641808
838735,-122.4671221,37.7161146,Sargent & Arch,125.3727798
61362,-122.4619868,37.727467,Wildwood,112.9376144
61358,-122.4607729,37.7276171,Homewood Court & Wildwood,109.7290573
61355,-122.4580769,37.7275864,Wildwood,102.1035156
61356,-122.459049,37.7275855,Westwood & Wildwood,101.410759
59929,-122.4398219,37.7852406,Sutter & Divisadero,47.71007919
57129,-122.3968643,37.7805311,Zoe & Bryant,4.038520813
57131,-122.4014329,37.776919,Oak Grove & Bryant,2.403906822
57132,-122.4019898,37.7764786,Morris & Bryant,2.536711216
57133,-122.4025378,37.7760452,6th & Bryant,2.663437366
235213,-122.4963703,37.7645614,Lincoln,37.54693604
60320,-122.4101057,37.8018611,Brant,26.27376175
63673,-122.43346,37.787021,Bush & Fillmore,51.30368423
63674,-122.435106,37.786811,Bush & Steiner,46.91274261
63675,-122.436747,37.786601,Bush & Pierce,46.36614609
73198,-122.432871,37.761821,Ford & Noe,23.44776726
73199,-122.432716,37.760224,Hancock & Noe,28.10606384
57796,-122.4370711,37.7160105,Amazon & Madrid,69.75653839
55750,-122.4731744,37.8051038,Doyle & Presidio Parkway,59.87441254
55751,-122.4681117,37.769263,Concourse,76.30049896
