,,,,,,,,maxg,,,
006-02,,,,,inscrits,82428,1,0,0,FALSE,AndrÈ Aschieri
006-02,,,,,abstentions,33409,0.405311302,0,0,FALSE,AndrÈ Aschieri
006-02,,,,,blanc,955,0.011585869,0,0,FALSE,AndrÈ Aschieri
006-02,m,AndrÈ,ASCHIERI,Aschieri,VEC,13802,0.287158788,13802,VEC,FALSE,AndrÈ Aschieri
006-02,m,Patrice,MIRAN,Miran,ECO,654,0.013606858,13802,VEC,FALSE,AndrÈ Aschieri
006-02,m,Charles Ange,GINESY,Ginesy,UMP,17197,0.357793775,13802,VEC,FALSE,AndrÈ Aschieri
006-02,f,FrÈdÈrique,CATTAERT,Cattaert,FG,1974,0.04107024,13802,VEC,FALSE,AndrÈ Aschieri
006-02,f,Michelle,PAULUS,Paulus,EXG,182,0.003786618,13802,VEC,FALSE,AndrÈ Aschieri
006-02,m,Jean-Marc,DEGIOANNI,Degioanni,FN,10123,0.210615013,13802,VEC,FALSE,AndrÈ Aschieri
006-02,m,Alain,BOUILLEAUX,Bouilleaux,EXG,146,0.003037617,13802,VEC,FALSE,AndrÈ Aschieri
006-02,f,Brigitte,REYNARD,Reynard,ECO,601,0.012504161,13802,VEC,FALSE,AndrÈ Aschieri
006-02,m,Fabrice,LACHENMAIER,Lachenmaier,RDG,3385,0.070426931,13802,VEC,TRUE,AndrÈ Aschieri
006-03,,,,,inscrits,87373,1,0,0,FALSE,Christine Dorejo
006-03,,,,,abstentions,39480,0.451855836,0,0,FALSE,Christine Dorejo
006-03,,,,,blanc,561,0.006420748,0,0,FALSE,Christine Dorejo
006-03,f,Marie-JosÈ,VALLADE,Vallade,ECO,558,0.011789064,0,0,FALSE,Christine Dorejo
006-03,m,GaÎl,NOFRI,Nofri,FN,10770,0.227541621,0,0,FALSE,Christine Dorejo
006-03,m,Igor,KUREK,Kurek,DVD,125,0.002640919,0,0,FALSE,Christine Dorejo
006-03,m,Marouane,BOULOUDHNINE,Bouloudhnine,CEN,833,0.017599087,0,0,FALSE,Christine Dorejo
006-03,m,Denis,ROOS,Roos,DVD,143,0.003021212,0,0,FALSE,Christine Dorejo
006-03,f,Marie-Edith,CATTET,Cattet,EXD,387,0.008176287,0,0,FALSE,Christine Dorejo
