id,osmid,name,lanes
5937,45661209,West Shore Trail,
5938,45661409,Honker Bay Trail,
5939,45661437,Columbine Trail,
5940,45661551,Bass Cove Trail,
5941,45666368,Douglass Street,
5942,45666389,Douglass Street,
5943,45767911,MacArthur Freeway,4
5944,45767915,MacArthur Freeway,4
5945,46269182,Kansas Street,
5946,46271090,Carolina Street,
5947,46271111,23rd Street,
5948,46272291,19th Street,
5949,46272776,Clay Street,
5950,46273519,Yacht Road,
5951,46274020,Ferry Landing,
5952,46581044,Ohlone Trail,
5953,46581045,Old French (Ohlone) Trail,
5954,46594526,4th Street,
5955,46594527,3rd Street,
5956,46594528,3rd Street,
5957,46594930,China Basin Street,
5958,46594931,Merrimac Street,
5959,46594933,Long Bridge Street,
5960,46595831,Elevator Trail,
5961,46622497,Langton Street,
5962,46622502,Gilbert Street,
5963,46626453,Rankin Street,
5964,46626455,Illinois Street,
5965,46649222,Castro Valley Freeway,2
5966,46649225,Castro Valley Freeway,2
5967,46649226,Castro Valley Freeway,2
5968,46649229,Via Segundo,
5969,46705878,Bass Cove Trail,
5970,46705879,Two Rocks Trail,
5971,46705880,Brandon Trail,
5972,46705881,Mirador Trail,
5973,46791690,Joost Avenue,
5974,46791691,Gennessee Street,
5975,46791692,Gennessee Street,
5976,46908284,Salinas Avenue,
5977,46908285,Salinas Avenue,
5978,46944755,Upper Terrace,
5979,46944760,22nd Street,
5980,46944761,21st Street,
5981,46944762,Collingwood Street,
5982,47025721,San Francisco Bay Trail,
5983,47025789,Arrowhead Marsh Trail,
5984,47025790,San Francisco Bay Trail,
5985,47025791,San Leandro Creek Trail West,
5986,47025810,San Francisco Bay Trail,
5987,47025811,San Francisco Bay Trail,
5988,47025812,San Francisco Bay Trail,
5989,47107945,Vidal Drive,
5990,47107981,Arballo Drive,
5991,47108328,Carolina Street,
5992,47108401,Washington Street,
5993,47108420,Jackson Street,
5994,47108592,Greenwich Street,
5995,47108713,Kearny Street,
5996,47109077,Austin Street,
5997,47109123,Willow Street,
5998,47109155,Willow Street,
5999,47109223,Redwood,
6000,47160823,Linden Street,
6001,47160824,Linden Street,
6002,47161038,Hickory Street (planned),
6003,47161085,Lily Street,
6004,47161086,Lily Street,
6005,47161260,Ames Street,
6006,47170567,Natoma Street,
6007,47172109,Langton Street,
6008,47172111,Clementina Street,
6009,47172165,Berwick Place,1
6010,47172265,Jessie Street,
6011,47172305,Annie Street,
6012,47172306,Stevenson Street,
6013,47172320,Stevenson Street,
6014,47172460,Minna Street,
6015,47172461,Natoma Street,
6016,47172462,Natoma Street,1
6017,47172627,Tehama Street,
6018,47172679,Tehama Street,
6019,47172745,Howard Street,
6020,47172784,Stillman Street,1
6021,47172834,South Park Avenue,
6022,47172835,South Park Avenue,
6023,47172841,Freelon Street,
6024,47172842,Welsh Street,
6025,47174568,Buchanan Street,
6026,47174750,Dicha Alley,
6027,47174835,Cornwall Street,
6028,47174885,14th Avenue,
6029,47174887,Moraga Street,
6030,47174889,Noriega Street,
6031,47174897,15th Avenue,
6032,47174903,Aerial Way,
6033,47174929,8th Avenue,
6034,47174930,Linares Avenue,
6035,47174931,8th Avenue,
6036,47174951,16th Avenue,
6037,47174952,16th Avenue,
